,GS,IP,H,R,ER,BB,SO,HR,HBP,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Date,Team,Home_Away
0,7.0,57.5,58.0,33.0,33.0,27.0,67.0,10.0,3.0,228.0,13.0,0.0,0.0,10.0,3.0,3.0,0.0,0.0,261.0,2022-04-16,SDN,1
0,6.0,50.1,59.0,25.0,21.0,20.0,36.0,2.0,2.0,209.0,15.0,1.0,1.0,9.0,2.0,0.0,1.0,3.0,234.0,2022-04-16,COL,1
0,6.0,46.7,61.0,40.0,40.0,22.0,47.0,7.0,2.0,211.0,10.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0,237.0,2022-04-16,KCR,1
0,6.0,50.5,35.0,16.0,14.0,23.0,63.0,5.0,2.0,194.0,7.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,220.0,2022-04-16,CHA,1
0,7.0,56.10000000000001,53.0,33.0,33.0,28.0,55.0,7.0,7.0,224.0,12.0,4.0,0.0,7.0,3.0,3.0,1.0,0.0,263.0,2022-04-16,PHI,1
0,5.0,39.1,39.0,23.0,23.0,18.0,37.0,5.0,1.0,163.0,7.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,184.0,2022-04-16,KCR,1
0,6.0,51.099999999999994,44.0,15.0,12.0,21.0,49.0,1.0,2.0,203.0,12.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,229.0,2022-04-17,BAL,0
0,6.0,50.2,40.0,17.0,17.0,23.0,69.0,4.0,2.0,192.0,13.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,219.0,2022-04-17,NYN,0
0,7.0,57.8,51.0,40.0,32.0,24.0,63.0,9.0,3.0,234.0,9.0,1.0,1.0,3.0,0.0,6.0,0.0,2.0,261.0,2022-04-17,TBA,0
0,7.0,54.20000000000001,64.0,29.0,25.0,22.0,58.0,8.0,1.0,245.0,15.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,269.0,2022-04-17,OAK,0
0,7.0,56.8,57.0,29.0,29.0,18.0,67.0,9.0,4.0,229.0,14.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,254.0,2022-04-17,SDN,0
0,7.0,57.5,50.0,22.0,21.0,17.0,59.0,7.0,3.0,222.0,12.0,0.0,0.0,7.0,3.0,5.0,0.0,1.0,245.0,2022-04-17,TOR,0
0,6.0,51.5,65.0,39.0,35.0,24.0,60.0,11.0,6.0,219.0,13.0,1.0,0.0,5.0,3.0,7.0,2.0,2.0,253.0,2022-04-17,TEX,0
0,7.0,54.10000000000001,62.0,41.0,39.0,32.0,60.0,6.0,2.0,232.0,10.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,268.0,2022-04-17,WSN,0
