,Date,Team,Opp,Home_Away,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat
0,"Apr 11, 2022",MIN,SEA,0,36,32,4,10,3,0,0,4,3,0,8,0,0,0,1,1,0
0,"Apr 11, 2022",SDN,SFN,1,42,37,4,10,1,0,1,4,4,0,11,1,0,0,0,0,0
0,"Apr 11, 2022",DET,BOS,0,35,31,3,8,2,0,1,3,3,0,10,0,0,1,0,0,0
0,"Apr 11, 2022",SFN,SDN,0,40,34,2,10,2,0,0,1,4,0,11,1,0,1,2,0,0
0,"Apr 11, 2022",WSN,ATL,1,49,41,11,15,2,0,1,11,7,0,9,1,0,0,0,0,1
0,"Apr 11, 2022",KCR,CLE,0,42,35,7,9,0,0,1,6,5,0,7,2,0,0,2,3,0
0,"Apr 11, 2022",TOR,NYA,1,38,37,3,10,2,0,1,3,0,0,10,1,0,0,0,1,0
0,"Apr 11, 2022",COL,TEX,1,47,42,6,14,3,1,2,4,2,0,11,3,0,0,1,0,0
0,"Apr 11, 2022",PHI,NYN,0,34,30,5,8,3,0,1,5,4,0,9,0,0,0,1,0,0
0,"Apr 11, 2022",TEX,COL,0,40,36,4,9,1,0,1,4,4,0,8,0,0,0,1,0,1
0,"Apr 11, 2022",BAL,MIL,0,37,31,2,6,1,0,0,2,6,0,7,0,0,0,1,1,0
0,"Apr 11, 2022",TBA,OAK,0,36,35,2,8,1,0,0,2,1,0,13,0,0,0,0,0,0
0,"Apr 11, 2022",CLE,KCR,1,44,38,10,13,2,1,1,9,5,0,6,0,1,0,1,1,0
0,"Apr 11, 2022",SEA,MIN,1,34,31,0,2,1,0,0,0,3,0,5,0,0,0,0,1,0
0,"Apr 11, 2022",NYA,TOR,0,35,29,0,4,0,0,0,0,5,0,9,1,0,0,2,0,0
0,"Apr 12, 2022",SDN,SFN,1,36,30,2,5,2,0,0,2,6,0,14,0,0,0,2,1,0
0,"Apr 12, 2022",CHA,SEA,0,33,30,3,6,0,0,1,3,3,0,9,0,0,0,0,2,0
0,"Apr 12, 2022",MIL,BAL,1,39,36,5,9,4,0,0,4,3,0,5,0,0,0,1,0,2
0,"Apr 12, 2022",LAA,MIA,0,32,29,4,4,0,1,1,4,3,0,15,0,0,0,0,1,1
0,"Apr 12, 2022",ATL,WSN,0,52,42,16,19,5,0,3,14,9,0,8,1,0,0,0,0,0
0,"Apr 12, 2022",ARI,HOU,0,36,30,1,4,1,0,1,1,5,0,7,0,1,0,0,0,0
0,"Apr 12, 2022",NYN,PHI,1,34,29,2,3,0,0,1,2,3,0,8,2,0,0,0,1,1
0,"Apr 12, 2022",HOU,ARI,1,39,34,2,8,2,0,1,2,5,0,2,0,0,0,1,0,1
0,"Apr 12, 2022",MIA,LAA,1,38,31,3,5,0,0,1,2,7,0,8,0,0,0,1,0,1
0,"Apr 12, 2022",OAK,TBA,1,45,35,8,8,1,0,1,7,9,1,8,1,0,0,1,1,0
0,"Apr 12, 2022",CIN,CLE,0,32,29,5,5,3,0,1,4,3,0,8,0,0,0,2,0,0
0,"Apr 12, 2022",BOS,DET,1,38,34,5,9,3,0,0,5,2,0,6,1,1,0,1,0,0
0,"Apr 12, 2022",SLN,KCR,0,36,34,6,10,2,0,3,6,2,0,9,0,0,0,0,0,0
0,"Apr 12, 2022",TBA,OAK,0,51,43,9,13,5,1,3,9,8,1,11,0,0,0,0,0,0
0,"Apr 12, 2022",MIN,LAN,0,37,33,2,5,3,0,0,1,3,0,9,1,0,0,0,0,0
0,"Apr 12, 2022",DET,BOS,0,33,31,3,5,3,0,0,3,2,0,6,0,0,0,0,0,0
0,"Apr 12, 2022",SFN,SDN,0,43,37,13,15,2,0,3,12,4,0,11,1,0,1,1,2,0
0,"Apr 12, 2022",WSN,ATL,1,36,35,4,9,3,0,2,3,1,0,8,0,0,0,1,0,0
0,"Apr 12, 2022",LAN,MIN,1,45,35,7,9,3,1,0,7,9,0,10,0,0,1,0,3,0
0,"Apr 12, 2022",BAL,MIL,0,41,34,4,7,2,0,1,4,6,0,14,0,0,0,0,0,0
0,"Apr 12, 2022",KCR,SLN,1,36,34,5,8,1,0,3,5,2,0,6,0,0,0,1,1,0
0,"Apr 12, 2022",TOR,NYA,1,33,33,0,5,2,0,0,0,0,0,10,0,0,0,0,1,0
0,"Apr 12, 2022",COL,TEX,1,38,31,4,7,3,0,0,4,3,0,7,2,1,1,2,0,0
0,"Apr 12, 2022",PHI,NYN,0,32,31,0,6,2,0,0,0,0,0,12,0,1,0,1,0,0
0,"Apr 12, 2022",TEX,COL,0,37,31,1,4,0,0,0,1,5,0,6,1,0,0,0,0,0
0,"Apr 12, 2022",PIT,CHN,0,33,33,1,6,2,0,1,1,0,0,7,0,0,0,0,1,0
0,"Apr 12, 2022",CHN,PIT,1,34,32,2,8,1,0,2,2,2,0,9,0,0,0,2,0,1
0,"Apr 12, 2022",SEA,CHA,1,40,34,2,7,1,0,1,2,6,0,10,0,0,0,0,0,0
0,"Apr 12, 2022",NYA,TOR,0,33,28,4,7,4,0,1,3,3,0,5,1,0,1,1,0,0
0,"Apr 12, 2022",CLE,CIN,1,42,35,10,11,3,2,2,10,5,0,8,1,0,1,0,1,3
0,"Apr 13, 2022",SDN,SFN,1,34,32,1,5,2,1,0,1,1,0,9,1,0,0,0,0,0
0,"Apr 13, 2022",CHA,SEA,0,36,32,6,10,1,0,3,6,4,0,6,0,0,0,2,0,0
0,"Apr 13, 2022",MIL,BAL,1,37,33,4,7,2,1,0,4,4,0,5,0,0,0,1,0,0
0,"Apr 13, 2022",WSN,ATL,1,34,33,3,7,1,0,0,3,0,0,9,0,0,1,0,0,0
0,"Apr 13, 2022",ATL,WSN,0,31,27,1,3,0,0,1,1,3,0,8,1,0,0,2,0,1
0,"Apr 13, 2022",ARI,HOU,0,47,33,3,6,0,0,0,3,9,0,13,3,1,1,0,2,0
0,"Apr 13, 2022",NYN,PHI,1,43,33,9,9,3,1,2,9,6,0,10,3,0,1,2,0,0
0,"Apr 13, 2022",HOU,ARI,1,40,34,2,6,0,0,0,2,4,1,8,0,0,2,1,1,0
0,"Apr 13, 2022",OAK,TBA,1,36,32,4,5,1,0,1,4,4,0,14,0,0,0,0,0,0
0,"Apr 13, 2022",CIN,CLE,0,35,33,3,7,2,0,2,3,0,0,12,2,0,0,0,1,0
0,"Apr 13, 2022",TBA,OAK,0,38,36,2,8,0,0,1,2,2,0,8,0,0,0,0,0,0
0,"Apr 13, 2022",MIN,LAN,0,29,28,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0
0,"Apr 13, 2022",BOS,DET,1,46,37,9,12,6,0,1,9,6,1,8,0,1,2,0,0,0
0,"Apr 13, 2022",DET,BOS,0,42,38,7,11,1,0,3,7,3,0,12,1,0,0,0,0,0
