,Date,Tm,Home_Away,Opp,W/L
153,"Sep 25, 2022",ATL,@,PHI,1
154,"Sep 26, 2022",ATL,@,WSN,1
155,"Sep 27, 2022",ATL,@,WSN,1
156,"Sep 28, 2022",ATL,@,WSN,0
157,"Sep 30, 2022",ATL,Home,NYN,1
158,"Oct 1, 2022",ATL,Home,NYN,1
159,"Oct 2, 2022",ATL,Home,NYN,1
160,"Oct 3, 2022",ATL,@,MIA,0
161,"Oct 4, 2022",ATL,@,MIA,1
162,"Oct 5, 2022",ATL,@,MIA,0
1,"Apr 7, 2022",ARI,Home,SDN,1
2,"Apr 8, 2022",ARI,Home,SDN,0
3,"Apr 9, 2022",ARI,Home,SDN,0
4,"Apr 10, 2022",ARI,Home,SDN,0
5,"Apr 12, 2022",ARI,Home,HOU,0
6,"Apr 13, 2022",ARI,Home,HOU,1
7,"Apr 15, 2022",ARI,@,NYN,0
8,"Apr 16, 2022",ARI,@,NYN,1
9,"Apr 17, 2022",ARI,@,NYN,0
10,"Apr 19, 2022",ARI,@,WSN,0
11,"Apr 19, 2022",ARI,@,WSN,0
12,"Apr 20, 2022",ARI,@,WSN,1
13,"Apr 21, 2022",ARI,@,WSN,1
14,"Apr 22, 2022",ARI,Home,NYN,0
15,"Apr 23, 2022",ARI,Home,NYN,1
16,"Apr 24, 2022",ARI,Home,NYN,0
17,"Apr 25, 2022",ARI,Home,LAN,0
18,"Apr 26, 2022",ARI,Home,LAN,1
19,"Apr 27, 2022",ARI,Home,LAN,1
20,"Apr 28, 2022",ARI,@,SLN,0
21,"Apr 29, 2022",ARI,@,SLN,1
22,"Apr 30, 2022",ARI,@,SLN,1
23,"May 1, 2022",ARI,@,SLN,0
24,"May 2, 2022",ARI,@,MIA,1
25,"May 3, 2022",ARI,@,MIA,1
26,"May 4, 2022",ARI,@,MIA,1
27,"May 6, 2022",ARI,Home,COL,1
28,"May 7, 2022",ARI,Home,COL,0
29,"May 8, 2022",ARI,Home,COL,1
30,"May 9, 2022",ARI,Home,MIA,1
31,"May 10, 2022",ARI,Home,MIA,1
32,"May 11, 2022",ARI,Home,MIA,0
33,"May 13, 2022",ARI,Home,CHN,1
34,"May 14, 2022",ARI,Home,CHN,0
35,"May 15, 2022",ARI,Home,CHN,0
36,"May 16, 2022",ARI,@,LAN,0
37,"May 17, 2022",ARI,@,LAN,0
38,"May 17, 2022",ARI,@,LAN,0
39,"May 18, 2022",ARI,@,LAN,0
40,"May 19, 2022",ARI,@,CHN,1
41,"May 20, 2022",ARI,@,CHN,1
42,"May 21, 2022",ARI,@,CHN,1
43,"May 22, 2022",ARI,@,CHN,0
44,"May 23, 2022",ARI,Home,KCR,1
45,"May 24, 2022",ARI,Home,KCR,1
46,"May 26, 2022",ARI,Home,LAN,0
47,"May 27, 2022",ARI,Home,LAN,0
48,"May 28, 2022",ARI,Home,LAN,0
49,"May 29, 2022",ARI,Home,LAN,0
50,"May 30, 2022",ARI,Home,ATL,1
51,"May 31, 2022",ARI,Home,ATL,1
52,"Jun 1, 2022",ARI,Home,ATL,0
53,"Jun 3, 2022",ARI,@,PIT,1
54,"Jun 4, 2022",ARI,@,PIT,0
55,"Jun 5, 2022",ARI,@,PIT,0
56,"Jun 6, 2022",ARI,@,CIN,0
57,"Jun 7, 2022",ARI,@,CIN,0
58,"Jun 8, 2022",ARI,@,CIN,1
59,"Jun 9, 2022",ARI,@,CIN,1
60,"Jun 10, 2022",ARI,@,PHI,0
61,"Jun 11, 2022",ARI,@,PHI,0
62,"Jun 12, 2022",ARI,@,PHI,1
63,"Jun 13, 2022",ARI,Home,CIN,0
64,"Jun 14, 2022",ARI,Home,CIN,0
65,"Jun 15, 2022",ARI,Home,CIN,1
66,"Jun 17, 2022",ARI,Home,MIN,1
67,"Jun 18, 2022",ARI,Home,MIN,0
68,"Jun 19, 2022",ARI,Home,MIN,1
69,"Jun 20, 2022",ARI,@,SDN,0
